run_id,ev_depart,confidence,ev_speed,route,ew_flow,ns_flow,travel_time,true_delay,ev_wait,safety_violations,teleports,deadlocks,passed
68,547.1,0.24,17.4,NS_C,827,962,-1.0,999.0,20.0,0,0,1,False
69,466.4,0.54,19.8,NS_B,984,795,38.0,22.28,2.0,0,0,0,False
70,648.0,0.05,20.1,NS_B,1030,906,-1.0,999.0,19.0,0,0,1,False
71,607.1,0.69,14.5,NS_C,816,606,29.0,7.54,0.0,0,0,0,True
72,570.4,0.02,18.0,NS_C,946,874,59.0,41.71,22.0,0,0,0,False
73,576.7,0.61,20.0,COMPLEX_TURN_D_TO_B,1020,610,57.0,22.88,0.0,0,0,0,False
74,562.6,0.27,22.0,NS_D,1005,719,26.0,11.85,0.0,0,0,0,True
75,297.7,0.4,20.9,NS_D,727,726,30.0,15.11,0.0,0,0,0,False
76,485.0,0.27,19.7,NS_D,862,761,33.0,17.2,2.0,0,0,0,False
77,605.3,0.31,18.7,COMPLEX_TURN_D_TO_B,620,901,-1.0,999.0,20.0,0,0,1,False
78,621.3,0.91,17.3,COMPLEX_TURN_D_TO_B,1009,972,-1.0,999.0,22.0,0,0,1,False
79,347.4,0.19,15.0,NS_C,920,839,50.0,29.25,16.0,0,0,0,False
80,286.2,0.16,21.8,NS_D,877,663,25.0,10.72,0.0,0,0,0,True
81,602.8,0.25,15.3,NS_C,947,787,40.0,19.66,7.0,0,0,0,False
82,573.6,0.36,17.6,NS_B,646,939,55.0,37.32,20.0,0,0,0,False
83,274.9,0.43,15.0,COMPLEX_TURN_D_TO_B,918,958,82.0,36.51,17.0,0,0,0,False
84,288.2,0.9,15.5,NS_D,719,790,29.0,8.92,0.0,0,0,0,True
85,414.7,0.62,19.3,EW_full,892,981,-1.0,999.0,36.0,0,0,1,False
86,506.5,0.7,19.9,EW_full,652,770,72.0,37.71,0.0,0,0,0,False
87,515.0,0.68,21.5,EW_full,1045,929,-1.0,999.0,0.0,0,0,1,False
88,496.7,0.65,21.8,NS_C,1053,758,37.0,22.72,4.0,0,0,0,False
89,602.2,0.87,18.9,NS_C,910,820,50.0,33.53,15.0,0,0,0,False
90,503.4,0.81,15.1,NS_C,935,983,-1.0,999.0,19.0,0,0,1,False
91,484.6,0.71,15.0,NS_C,1061,809,42.0,21.25,9.0,0,0,0,False
92,598.3,0.04,14.6,NS_B,623,967,-1.0,999.0,23.0,0,0,1,False
93,611.7,0.67,16.9,EW_full,1068,859,-1.0,999.0,0.0,0,0,1,False
94,388.2,0.29,20.3,NS_D,725,815,39.0,23.67,8.0,0,0,0,False
95,256.1,0.94,21.3,NS_B,923,959,60.0,45.39,22.0,0,0,0,False
96,381.8,0.13,18.1,COMPLEX_TURN_D_TO_B,821,889,87.0,49.3,18.0,0,0,0,False
97,279.2,0.02,15.8,EW_full,858,694,107.0,63.81,33.0,0,0,0,False
98,612.4,0.49,21.9,NS_D,636,639,25.0,10.79,0.0,0,0,0,True
99,525.0,0.9,19.5,NS_B,987,616,34.0,18.04,0.0,0,0,0,False
100,403.1,0.74,19.3,NS_B,675,823,50.0,33.88,15.0,0,0,0,False
101,435.1,0.63,15.8,COMPLEX_TURN_D_TO_B,757,927,-1.0,999.0,35.0,0,0,1,False
102,312.0,0.84,21.2,NS_B,659,954,57.0,42.32,20.0,0,0,0,False
103,371.9,0.41,16.0,COMPLEX_TURN_D_TO_B,993,910,103.0,60.35,33.0,0,0,0,False
104,284.3,0.32,16.8,NS_D,860,989,61.0,42.48,23.0,0,0,0,False
105,286.6,0.07,19.1,EW_full,787,979,89.0,53.27,16.0,0,0,0,False
106,433.5,0.17,16.4,NS_D,883,720,25.0,6.02,0.0,0,0,0,True
107,527.0,0.14,20.5,COMPLEX_TURN_D_TO_B,768,670,57.0,23.71,0.0,0,0,0,False
108,517.5,0.61,21.5,COMPLEX_TURN_D_TO_B,918,607,57.0,25.26,0.0,0,0,0,False
109,545.4,0.09,21.4,EW_full,823,750,115.0,83.11,29.0,0,0,0,False
110,465.3,0.42,14.4,NS_C,654,898,58.0,36.39,18.0,0,0,0,False
111,465.6,0.69,17.9,NS_D,1022,683,27.0,9.61,0.0,0,0,0,True
112,467.0,0.44,18.2,NS_D,682,682,28.0,10.9,0.0,0,0,0,True
113,481.0,0.71,15.4,NS_D,1026,855,64.0,43.79,26.0,0,0,0,False
114,383.3,0.77,14.4,NS_D,717,650,27.0,5.39,0.0,0,0,0,True
115,614.8,0.81,20.6,NS_B,1061,998,-1.0,999.0,0.0,0,0,1,False
116,388.1,0.18,20.9,EW_full,1050,813,-1.0,999.0,22.0,0,0,1,False
117,506.2,0.44,21.9,NS_D,718,930,62.0,47.79,25.0,0,0,0,False
118,304.2,0.88,17.0,NS_B,794,920,59.0,40.69,22.0,0,0,0,False
119,282.5,0.99,15.1,NS_D,701,838,32.0,11.39,0.0,0,0,0,True
120,378.9,0.89,18.8,COMPLEX_TURN_D_TO_B,688,854,69.0,32.7,5.0,0,0,0,False
121,419.5,0.92,18.8,EW_full,938,688,-1.0,999.0,58.0,0,0,1,False
122,640.9,0.53,15.0,EW_full,907,969,-1.0,999.0,22.0,0,0,1,False
123,323.1,0.33,18.3,EW_full,837,675,124.0,86.71,34.0,0,0,0,False
124,435.3,0.56,18.0,NS_B,716,724,28.0,10.71,0.0,0,0,0,True
125,481.5,0.25,21.4,NS_D,910,744,31.0,16.46,0.0,0,0,0,False
126,334.8,0.29,15.1,NS_C,870,894,67.0,46.39,25.0,0,0,0,False
127,630.2,0.48,15.0,EW_full,926,937,-1.0,999.0,21.0,0,0,1,False
128,560.5,0.6,15.5,COMPLEX_TURN_D_TO_B,620,801,72.0,27.97,8.0,0,0,0,False
129,282.8,0.36,16.7,NS_B,627,1000,54.0,35.37,15.0,0,0,0,False
130,527.1,0.52,14.8,NS_C,970,922,57.0,35.97,20.0,0,0,0,False
131,468.2,0.56,14.6,EW_full,635,814,66.0,19.26,0.0,0,0,0,False
132,306.3,0.35,16.3,COMPLEX_TURN_D_TO_B,662,926,88.0,46.13,23.0,0,0,0,False
133,286.8,0.88,18.3,EW_full,783,950,103.0,65.71,22.0,0,0,0,False
134,341.5,0.17,19.3,NS_D,1050,900,59.0,42.88,20.0,0,0,0,False
135,516.2,0.58,14.5,NS_B,694,690,27.0,5.54,0.0,0,0,0,True
136,467.6,0.72,16.7,NS_B,904,712,32.0,13.37,0.0,0,0,0,True
137,259.1,0.74,18.2,COMPLEX_TURN_D_TO_B,891,717,65.0,27.51,2.0,0,0,0,False
138,633.9,0.61,15.5,COMPLEX_TURN_D_TO_B,932,973,-1.0,999.0,12.0,0,0,1,False
139,511.3,0.55,18.3,EW_full,616,970,68.0,30.71,4.0,0,0,0,False
140,353.5,0.9,20.5,NS_D,1036,810,47.0,31.82,11.0,0,0,0,False
141,590.6,0.79,14.8,NS_C,1090,845,59.0,37.97,23.0,0,0,0,False
142,521.0,0.11,17.4,EW_full,953,890,-1.0,999.0,19.0,0,0,1,False
143,348.3,0.2,14.9,COMPLEX_TURN_D_TO_B,997,898,87.0,41.2,22.0,0,0,0,False
144,471.0,0.46,20.8,NS_D,643,676,25.0,10.04,0.0,0,0,0,True
145,281.9,0.42,22.0,COMPLEX_TURN_D_TO_B,753,911,73.0,41.98,10.0,0,0,0,False
146,355.1,0.4,17.1,EW_full,762,659,85.0,45.09,9.0,0,0,0,False
147,598.1,0.84,19.6,COMPLEX_TURN_D_TO_B,834,894,-1.0,999.0,22.0,0,0,1,False
148,265.9,0.84,18.3,COMPLEX_TURN_D_TO_B,973,768,63.0,25.71,1.0,0,0,0,False
149,343.7,0.3,19.0,NS_D,704,870,48.0,31.62,11.0,0,0,0,False
150,592.7,0.97,21.5,NS_D,946,959,-1.0,999.0,39.0,0,0,1,False
151,318.4,0.34,19.1,EW_full,873,743,125.0,89.27,32.0,0,0,0,False
152,537.6,0.77,16.2,NS_C,901,811,47.0,27.79,13.0,0,0,0,False
153,415.7,0.72,17.8,COMPLEX_TURN_D_TO_B,751,636,60.0,21.66,0.0,0,0,0,False
154,395.1,0.98,18.6,NS_C,928,645,30.0,13.27,0.0,0,0,0,True
155,591.4,0.63,16.3,NS_D,1007,712,31.0,11.91,0.0,0,0,0,True
156,469.6,0.67,19.3,COMPLEX_TURN_D_TO_B,659,845,75.0,39.64,11.0,0,0,0,False
157,481.0,0.16,17.1,EW_full,826,646,123.0,83.09,31.0,0,0,0,False
158,644.4,0.77,15.1,COMPLEX_TURN_D_TO_B,719,673,64.0,18.81,3.0,0,0,0,False
159,414.7,0.68,16.0,NS_D,850,821,43.0,23.55,9.0,0,0,0,False
160,422.0,0.27,21.7,EW_full,772,669,91.0,59.55,10.0,0,0,0,False
161,520.7,0.89,14.3,EW_full,939,837,-1.0,999.0,37.0,0,0,1,False
162,509.9,0.3,18.2,COMPLEX_TURN_D_TO_B,918,707,58.0,20.51,0.0,0,0,0,False
163,591.9,0.99,18.0,COMPLEX_TURN_D_TO_B,614,636,61.0,23.09,0.0,0,0,0,False
164,381.7,0.46,16.7,COMPLEX_TURN_D_TO_B,1018,899,89.0,48.14,23.0,0,0,0,False
165,287.6,0.03,20.5,COMPLEX_TURN_D_TO_B,958,615,58.0,24.71,0.0,0,0,0,False
166,261.3,0.27,19.8,NS_D,662,650,34.0,18.28,0.0,0,0,0,False
167,399.7,0.66,19.3,COMPLEX_TURN_D_TO_B,677,997,-1.0,999.0,19.0,0,0,1,False
168,301.8,0.7,18.1,COMPLEX_TURN_D_TO_B,674,881,80.0,42.3,16.0,0,0,0,False
169,543.9,0.72,16.0,NS_D,757,771,38.0,18.55,8.0,0,0,0,False
170,282.7,0.62,19.5,EW_full,1026,622,-1.0,999.0,58.0,0,0,1,False
171,583.6,0.19,16.8,NS_C,836,761,34.0,15.48,0.0,0,0,0,False
172,345.0,0.36,18.2,NS_D,966,923,60.0,42.9,23.0,0,0,0,False
173,314.4,0.14,21.3,NS_C,789,807,39.0,24.39,7.0,0,0,0,False
174,261.3,0.92,16.7,NS_C,673,854,44.0,25.37,12.0,0,0,0,False
175,319.8,0.75,17.1,NS_B,867,697,25.0,6.8,0.0,0,0,0,True
176,360.7,0.3,15.2,EW_full,883,867,-1.0,999.0,40.0,0,0,1,False
177,447.9,0.67,21.3,COMPLEX_TURN_D_TO_B,861,700,63.0,30.96,1.0,0,0,0,False
178,341.4,0.83,14.6,COMPLEX_TURN_D_TO_B,911,918,89.0,42.26,25.0,0,0,0,False
179,366.9,0.44,21.8,NS_B,743,644,25.0,10.72,0.0,0,0,0,True
180,516.9,0.78,20.7,EW_full,671,771,78.0,45.03,0.0,0,0,0,False
181,390.1,0.66,14.3,NS_C,1025,731,29.0,7.24,0.0,0,0,0,True
182,446.7,0.5,16.2,NS_D,620,783,41.0,21.79,9.0,0,0,0,False
183,412.7,0.79,14.0,COMPLEX_TURN_D_TO_B,622,887,85.0,36.26,18.0,0,0,0,False
184,494.1,0.19,21.0,NS_C,1066,961,58.0,43.18,24.0,0,0,0,False
185,541.0,0.17,20.1,COMPLEX_TURN_D_TO_B,1013,846,91.0,57.05,26.0,0,0,0,False
186,615.7,0.2,17.8,EW_full,1019,620,-1.0,999.0,23.0,0,0,1,False
187,303.4,0.56,19.3,NS_C,810,880,55.0,38.88,20.0,0,0,0,False
188,362.2,0.44,19.3,COMPLEX_TURN_D_TO_B,848,868,81.0,45.64,18.0,0,0,0,False
189,592.7,0.2,20.2,COMPLEX_TURN_D_TO_B,1042,834,90.0,56.22,25.0,0,0,0,False
190,485.6,0.96,21.6,COMPLEX_TURN_D_TO_B,708,840,88.0,56.41,16.0,0,0,0,False
191,559.7,0.75,20.5,EW_full,708,846,75.0,41.71,1.0,0,0,0,False
192,468.5,0.38,20.8,NS_D,605,795,37.0,22.04,4.0,0,0,0,False
193,521.9,0.58,20.8,NS_B,624,723,25.0,10.04,0.0,0,0,0,True
194,351.2,0.78,18.3,NS_C,723,893,60.0,42.99,24.0,0,0,0,False
195,485.5,0.73,16.5,COMPLEX_TURN_D_TO_B,609,698,59.0,17.64,0.0,0,0,0,False
196,419.7,0.78,15.6,NS_D,968,892,57.0,37.05,21.0,0,0,0,False
197,295.4,0.23,15.1,COMPLEX_TURN_D_TO_B,848,807,70.0,24.81,7.0,0,0,0,False
198,311.2,0.81,15.5,EW_full,696,809,78.0,33.97,5.0,0,0,0,False
199,639.0,0.56,19.8,COMPLEX_TURN_D_TO_B,1079,623,60.0,25.54,0.0,0,0,0,False
200,463.5,0.23,21.8,NS_B,835,745,29.0,14.72,0.0,0,0,0,True
201,468.1,0.56,20.9,COMPLEX_TURN_D_TO_B,619,975,-1.0,999.0,20.0,0,0,1,False
202,372.3,0.76,17.0,NS_B,862,620,26.0,7.69,0.0,0,0,0,True
203,522.5,0.08,18.5,EW_full,676,839,72.0,35.11,0.0,0,0,0,False
204,544.2,0.56,16.5,NS_B,1090,738,32.0,13.14,0.0,0,0,0,True
205,286.3,0.29,16.9,NS_B,1056,715,25.0,6.59,0.0,0,0,0,True
206,397.1,0.89,14.1,NS_D,896,896,58.0,35.93,22.0,0,0,0,False
207,316.3,0.53,14.8,COMPLEX_TURN_D_TO_B,701,920,83.0,36.89,20.0,0,0,0,False
208,448.0,0.37,17.6,EW_full,790,720,104.0,65.23,9.0,0,0,0,False
209,642.2,0.16,20.1,NS_C,817,716,35.0,19.52,4.0,0,0,0,False
210,487.8,0.99,20.9,NS_C,777,884,61.0,46.11,21.0,0,0,0,False
211,575.9,0.07,21.9,NS_C,840,865,60.0,45.79,22.0,0,0,0,False
212,591.5,0.96,21.1,NS_D,716,752,35.0,20.25,4.0,0,0,0,False
213,498.1,0.78,14.9,NS_D,839,973,58.0,37.11,21.0,0,0,0,False
214,487.5,0.25,18.2,NS_D,931,682,32.0,14.9,0.0,0,0,0,True
215,506.3,0.02,17.2,NS_B,893,883,59.0,40.91,18.0,0,0,0,False
216,541.3,0.32,17.9,EW_full,1033,931,-1.0,999.0,0.0,0,0,1,False
217,298.9,0.85,15.3,NS_C,880,977,54.0,33.66,19.0,0,0,0,False
218,528.0,0.45,18.7,NS_B,807,729,25.0,8.36,0.0,0,0,0,True
219,302.0,0.08,14.8,NS_C,1015,863,51.0,29.97,16.0,0,0,0,False
